index,Resource_Factor,Algorithm,Total_Delay_D_mean,Total_Delay_D_std,Effective_Delay_mean,Effective_Delay_std,Avg_QoS_Q_mean,Avg_QoS_Q_std,Comp_Delay_mean,Comp_Delay_std,Comm_Delay_mean,Comm_Delay_std,Mem_Utilization_mean,Mem_Utilization_std,Penalty_Score_mean,Penalty_Score_std,Fitness_mean,Fitness_std
21,0.8,cds-m,1.6731962454679326,0.8770973290467597,5.123788613940878,3.677185412758139,3.4774148091352606,0.1011021736592999,1.6367017168653806,0.8749743763372937,0.03649452860255213,0.0069959306043410685,0.9263552255555556,0.05965555853730231,1804637.4746063692,1484644.3420315147,-1804642.363172787,1484648.2387324807
22,0.8,drs,1.658521103809355,0.7752331595896056,4.950101002829088,3.6153534748398326,3.478950250252807,0.15153739137594965,1.619126848515571,0.776180882944581,0.03939425529378418,0.0014940050855094828,0.9007888283333333,0.0633537602938466,2054004.7371700718,1420432.7524583037,-2054009.5508253407,1420436.5241700467
23,0.8,ffd-m,1.746851735207196,0.8138758348808823,5.091923826847133,3.643951864177728,3.44672918819901,0.20862263329926028,1.7082495452289823,0.8131366592570062,0.038602189978213505,0.004863438339317102,0.9297918080555556,0.061729996601721134,1834774.4724994823,1452148.2146882012,-1834779.7600289702,1452151.6835745063
24,0.8,greedy-m,1.8023893595477247,0.8620206386605974,5.339826097562091,3.7443468523616787,3.4973945576257277,0.1060021601350044,1.7629475615335455,0.8623616742334247,0.03944179801417937,0.0016602908240770907,0.904867598611111,0.05028918324454077,2035647.8851344343,1446100.687110382,-2035653.3996866748,1446104.601214635
25,0.8,lego,1.6731962454679326,0.8770973290467597,5.123788613940878,3.677185412758139,3.4774148091352606,0.1011021736592999,1.6367017168653806,0.8749743763372937,0.03649452860255213,0.0069959306043410685,0.9263552255555556,0.05965555853730231,1804637.4746063692,1484644.3420315147,-1804642.363172787,1484648.2387324807
26,0.8,our,1.0137937166328173,0.5033518978817242,3.5249736779028615,3.9074614356742954,3.0186930169986264,0.29910721248670813,0.9791476686735299,0.5021326743026024,0.03464604795928743,0.006264750786362186,0.9817415569444444,0.026080816695889127,1288731.8423539144,1124668.5320710924,-1288733.8926294805,1124670.740180872
27,0.8,random-m,1.7267616848028222,0.8777126724621803,5.214004049799619,3.640106311751641,3.515672862305788,0.09249190248948844,1.6876656136727963,0.8789063084533241,0.0390960711300259,0.0015750868172831895,0.9165179688888889,0.06577268913250162,1869028.0898536597,1469860.86045466,-1869033.207989221,1469864.7171646545
28,1.0,cds-m,0.5122576551312239,0.4558235940042459,0.9602379104442905,1.372390860252817,3.5525130308004145,0.060753043429990355,0.4787446722514053,0.4515368453034009,0.0335129828798186,0.008999038084012066,0.937583676,0.06306623789844072,328333.3159014279,720891.5093074298,-328332.32467667275,720893.5733506414
29,1.0,drs,0.4962992930495411,0.4377517223375313,0.9289462846681011,1.3751368280976664,3.5784911506930883,0.04013636374016122,0.45710118106919345,0.4382879683353673,0.03919811198034769,0.0022650775418654482,0.9351816028888889,0.06460647740400774,295499.04301321687,719646.2454951301,-295497.9460185314,719648.3069682341
30,1.0,ffd-m,0.4914726893368643,0.46020278681959287,0.9356219737566093,1.3712697227426704,3.509918997012954,0.1785758006372773,0.4622810175681568,0.4542352152765859,0.029191671768707482,0.009528649422227463,0.9420879564444444,0.06513190526941075,334270.5345816926,718111.5803634219,-334269.4820261423,718113.7321969941
31,1.0,greedy-m,0.4956445619162272,0.3203287886073893,0.8852736247674511,1.0576033861588643,3.578701284033484,0.038458071771095705,0.45495898068039964,0.3200032828125303,0.04068558123582766,0.0014304733261028039,0.9277680195555555,0.05769686348810112,223017.26866747648,406044.13001905405,-223016.16818900203,406045.4671562402
32,1.0,lego,0.5122576551312239,0.4558235940042459,0.9602379104442905,1.372390860252817,3.5525130308004145,0.060753043429990355,0.4787446722514053,0.4515368453034009,0.0335129828798186,0.008999038084012066,0.937583676,0.06306623789844072,328333.3159014279,720891.5093074298,-328332.32467667275,720893.5733506414
33,1.0,our,0.27423865427422506,0.203939160057346,0.5107437233336384,0.7051889469342244,3.4892713481400435,0.2316264364318073,0.2422260750158746,0.20032644933182614,0.03201257925835045,0.009018667281936487,0.913290688,0.09644865528567452,137092.29721625271,289669.0553655714,-137090.1791381759,289670.25883157086
34,1.0,random-m,0.4868480168368451,0.4364368400716123,0.9186829740251117,1.3772728343078988,3.56996483315393,0.04869211312804087,0.4484301030865302,0.4368792639442762,0.03841791375031494,0.0022612368276106547,0.9347354142222223,0.06327234012758785,324847.2665685961,729057.9417219522,-324846.1308438472,729060.0447239927
35,1.2,cds-m,0.4638776568291359,0.3517626966003754,0.8033141975619358,0.623896417297496,3.572365986707376,0.044848807331113356,0.4305446059557001,0.3515542943139351,0.03333305087343579,0.008299468829368106,0.9539963964814815,0.07308515535962147,229530.80943007348,220340.68087651074,-229529.5564523709,220342.1409814361
