Algorithm,Total_Delay_D,Effective_Delay,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Resource_Factor,Replicate,Replicate_Seed
drs,3.940109612985871,22.455991128668003,3.5805797685747893,3.911359612985871,0.02875,0.7333614,10792137.061198682,-10792153.181166979,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,5,10047
our,2.059449128725462,29.993331529254533,3.036223613164802,2.020988017614351,0.03846111111111111,0.9982895733333333,6754397.511753446,-6754404.772775477,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,6,10048
ffd-m,3.9153642743255253,28.516399152908992,3.4534027702075853,3.8719976076588587,0.04336666666666667,0.7333614,10729388.463354059,-10729404.58677266,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,6,10048
cds-m,3.9153642743255253,28.516399152908992,3.4534027702075853,3.8719976076588587,0.04336666666666667,0.7333614,10729388.463354059,-10729404.58677266,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,6,10048
random-m,3.9153642743255253,28.516399152908992,3.4534027702075853,3.8719976076588587,0.04336666666666667,0.7333614,10729388.463354059,-10729404.58677266,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,6,10048
greedy-m,3.9153642743255253,28.516399152908992,3.4534027702075853,3.8719976076588587,0.04336666666666667,0.7333614,10729388.463354059,-10729404.58677266,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,6,10048
lego,3.9153642743255253,28.516399152908992,3.4534027702075853,3.8719976076588587,0.04336666666666667,0.7333614,10729388.463354059,-10729404.58677266,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,6,10048
drs,3.9153642743255253,28.516399152908992,3.4534027702075853,3.8719976076588587,0.04336666666666667,0.7333614,10729388.463354059,-10729404.58677266,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,6,10048
our,1.06678299810044,5.18136825444604,2.6863775829872494,1.0272663314337733,0.039516666666666665,0.9968259866666667,1606438.093488754,-1606440.7410261615,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,7,10049
ffd-m,2.3116478894002617,9.264201393238126,2.923337837293826,2.2721145560669282,0.03953333333333333,0.9226322488888888,2061936.4025502298,-2061945.0374518395,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,7,10049
cds-m,2.0124621136540144,8.965015617491881,2.9673426682774973,1.9722954469873477,0.04016666666666666,0.9755275377777778,2061936.4025502298,-2061943.4975181299,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,7,10049
random-m,2.066568962270697,9.290754827990163,3.215824640199514,2.026599549353648,0.03996941291704928,0.9490798933333333,2531388.4612734634,-2531395.5782936346,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,7,10049
