Algorithm,Total_Delay_D,Effective_Delay,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Resource_Factor,Replicate,Replicate_Seed
lego,3.4449996844717683,16.3578062702083,3.525712879816806,3.412066351138435,0.03293333333333333,0.8542205377777777,6044415.022451077,-6044428.721736619,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,2,10044
drs,3.0046749453817903,16.86892684101059,3.4512925699892154,2.971857326334171,0.032817619047619054,0.8946837955555555,5158574.98715546,-5158586.559237617,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,2,10044
our,1.3628652293032697,10.60846184713367,2.7025578262852754,1.3286341497578151,0.03423107954545455,0.99774548,2869784.886656403,-2869788.9984247233,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,3,10045
ffd-m,3.3459314036978167,13.342010218540697,3.3457062265584234,3.307171403697817,0.038759999999999996,0.9353054044444444,5107908.254229197,-5107921.6381799895,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,3,10045
cds-m,3.3459314036978167,13.342010218540697,3.3457062265584234,3.307171403697817,0.038759999999999996,0.9353054044444444,5107908.254229197,-5107921.6381799895,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,3,10045
random-m,3.3633508715308076,14.335861849362628,3.4251128391300565,3.3236730937530297,0.03967777777777777,0.91184712,5521774.920895862,-5521788.3125373805,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,3,10045
greedy-m,3.3633508715308076,14.335861849362628,3.4251128391300565,3.3236730937530297,0.03967777777777777,0.91184712,5521774.920895862,-5521788.3125373805,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,3,10045
lego,3.3459314036978167,13.342010218540697,3.3457062265584234,3.307171403697817,0.038759999999999996,0.9353054044444444,5107908.254229197,-5107921.6381799895,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,3,10045
drs,3.3633508715308076,14.335861849362628,3.4251128391300565,3.3236730937530297,0.03967777777777777,0.91184712,5521774.920895862,-5521788.3125373805,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,3,10045
our,1.2713696732136759,9.97865972698221,2.9586560553364443,1.2398914839132644,0.03147818930041152,0.9960822133333334,3998178.465009071,-3998181.8632013816,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,4,10046
ffd-m,3.1004057034055394,14.87892501126687,3.321024485325091,3.0691390367388727,0.031266666666666665,0.8623293777777777,5948461.227118418,-5948473.408122449,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,4,10046
cds-m,2.570391620898904,17.87802651644237,3.3503271349088872,2.539408287565571,0.03098333333333333,0.9085349688888888,5444976.9377879985,-5444986.439418968,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,4,10046
random-m,3.71219852950944,16.35732617050784,3.4883916138439495,3.6686385295094404,0.04356,0.8667862044444444,5770863.072920776,-5770878.145521809,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,4,10046
greedy-m,2.5740388431211265,17.881673738664595,3.3503271349088872,2.539408287565571,0.03463055555555555,0.9085349688888888,5807258.087429285,-5807267.607296365,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,4,10046
lego,2.570391620898904,17.87802651644237,3.3503271349088872,2.539408287565571,0.03098333333333333,0.9085349688888888,5444976.9377879985,-5444986.439418968,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,4,10046
drs,3.137568329532177,16.91463242306177,3.4867182231772023,3.097594996198844,0.03997333333333334,0.8699633911111111,6707478.991564625,-6707491.19268805,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,4,10046
our,1.6731620298472125,16.801328018096815,2.7978126492964037,1.6336866965138792,0.039475333333333334,0.9981297422222222,4665261.494063893,-4665267.062061394,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,5,10047
ffd-m,3.940109612985871,22.455991128668003,3.5805797685747893,3.911359612985871,0.02875,0.7333614,10792137.061198682,-10792153.181166979,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,5,10047
cds-m,3.940109612985871,22.455991128668003,3.5805797685747893,3.911359612985871,0.02875,0.7333614,10792137.061198682,-10792153.181166979,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,5,10047
random-m,3.940109612985871,22.455991128668003,3.5805797685747893,3.911359612985871,0.02875,0.7333614,10792137.061198682,-10792153.181166979,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,5,10047
greedy-m,3.940109612985871,22.455991128668003,3.5805797685747893,3.911359612985871,0.02875,0.7333614,10792137.061198682,-10792153.181166979,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,5,10047
lego,3.940109612985871,22.455991128668003,3.5805797685747893,3.911359612985871,0.02875,0.7333614,10792137.061198682,-10792153.181166979,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,5,10047
