Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Replicate,Replicate_Seed
random-m,29.233773568914707,3.5073700922954094,29.196759793404503,0.03701377551020408,0.9715863577777778,0.0,-142.6614977522781,"{'congested': False, 'oom': False}",chain_length,4,2,44
greedy-m,0.1857517249714467,3.415224014885734,0.14499628279457596,0.04075544217687074,0.9689817444444444,0.0,2.4864653900285,"{'congested': False, 'oom': False}",chain_length,4,2,44
lego,29.2319710178943,3.5073700922954094,29.196759793404503,0.03521122448979592,0.9715863577777778,0.0,-142.6524849971761,"{'congested': False, 'oom': False}",chain_length,4,2,44
drs,29.232882752588175,3.5073700922954094,29.196759793404503,0.03612295918367347,0.9715863577777778,0.0,-142.65704367064546,"{'congested': False, 'oom': False}",chain_length,4,2,44
our,0.11145768611068695,3.68679123789403,0.05852163731100178,0.052936048799685165,0.8932537911111111,0.0,3.1295028073405957,"{'congested': False, 'oom': False}",chain_length,5,2,44
ffd-m,0.18943511379168543,4.491639249574517,0.16763511379168544,0.021799999999999996,0.60566498,0.0,3.5444636806160896,"{'congested': False, 'oom': False}",chain_length,5,2,44
cds-m,0.18943511379168543,4.491639249574517,0.16763511379168544,0.021799999999999996,0.60566498,0.0,3.5444636806160896,"{'congested': False, 'oom': False}",chain_length,5,2,44
random-m,0.21662400268057433,4.491639249574517,0.16763511379168544,0.04898888888888889,0.60566498,0.0,3.408519236171645,"{'congested': False, 'oom': False}",chain_length,5,2,44
greedy-m,0.2254684471250188,4.491639249574517,0.16763511379168544,0.057833333333333334,0.60566498,0.0,3.3642970139494226,"{'congested': False, 'oom': False}",chain_length,5,2,44
lego,0.18943511379168543,4.491639249574517,0.16763511379168544,0.021799999999999996,0.60566498,0.0,3.5444636806160896,"{'congested': False, 'oom': False}",chain_length,5,2,44
drs,0.21423511379168544,4.491639249574517,0.16763511379168544,0.0466,0.60566498,0.0,3.4204636806160895,"{'congested': False, 'oom': False}",chain_length,5,2,44
