Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Scale,n_nodes,n_task_types,chain_length,arrival_rate,Replicate,Replicate_Seed
ffd-m,0.07072268907364664,2.497711472149477,0.07072268907364664,0.0,0.10912115333333333,0.0,2.144098026781244,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,7,10049
cds-m,0.07072268907364664,2.497711472149477,0.07072268907364664,0.0,0.10912115333333333,0.0,2.144098026781244,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,7,10049
random-m,0.13081157796253554,2.497711472149477,0.07072268907364664,0.06008888888888889,0.10912115333333333,0.0,1.8436535823367994,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,7,10049
greedy-m,0.13120046685142442,2.4977114721494766,0.07072268907364664,0.06047777777777778,0.10912115333333333,0.0,1.8417091378923547,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,7,10049
lego,0.07072268907364664,2.497711472149477,0.07072268907364664,0.0,0.10912115333333333,0.0,2.144098026781244,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,7,10049
drs,0.12480046685142442,2.4977114721494766,0.07072268907364664,0.05407777777777778,0.10912115333333333,0.0,1.8737091378923547,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,7,10049
our,0.28788973215311764,4.4438302126625135,0.24876380622719169,0.039125925925925925,0.33290191733333335,0.0,3.0043815518969255,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,8,10050
ffd-m,0.07567253830685763,2.55205302392244,0.07567253830685763,0.0,0.124541336,0.0,2.173690332388152,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,8,10050
cds-m,0.07567253830685763,2.55205302392244,0.07567253830685763,0.0,0.124541336,0.0,2.173690332388152,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,8,10050
random-m,0.1289677764020957,2.55205302392244,0.0756725383068576,0.0532952380952381,0.124541336,0.0,1.9072141419119615,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,8,10050
greedy-m,0.12138682402114329,2.55205302392244,0.07567253830685758,0.045714285714285714,0.124541336,0.0,1.9451189038167236,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,8,10050
lego,0.07567253830685763,2.55205302392244,0.07567253830685763,0.0,0.124541336,0.0,2.173690332388152,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,8,10050
drs,0.13180587164019092,2.55205302392244,0.07567253830685758,0.056133333333333334,0.124541336,0.0,1.8930236657214854,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,8,10050
our,0.20357339441866545,4.463098951127026,0.16211114952070627,0.04146224489795918,0.2948929986666667,0.0,3.4452319790336983,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,9,10051
ffd-m,0.05765799208858366,2.407314241422255,0.05765799208858366,0.0,0.09370097066666666,0.0,2.1190242809793367,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,9,10051
cds-m,0.05765799208858366,2.407314241422255,0.05765799208858366,0.0,0.09370097066666666,0.0,2.1190242809793367,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,9,10051
random-m,0.10947399208858366,2.407314241422255,0.05765799208858366,0.05181600000000001,0.09370097066666666,0.0,1.8599442809793367,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,9,10051
greedy-m,0.122591325421917,2.407314241422255,0.05765799208858366,0.06493333333333334,0.09370097066666666,0.0,1.79435761431267,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,9,10051
lego,0.05765799208858366,2.407314241422255,0.05765799208858366,0.0,0.09370097066666666,0.0,2.1190242809793367,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,9,10051
drs,0.12374065875525034,2.407314241422255,0.05765799208858366,0.06608266666666668,0.09370097066666666,0.0,1.7886109476460033,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,9,10051
