Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Replicate,Replicate_Seed
cds-m,0.5778950676869566,3.5856812365843513,0.5519200676869567,0.025975,0.9382361,31482.235553792394,-31481.539347894246,"{'congested': True, 'oom': False}",n_task_types,20,2,44
random-m,0.5879700676869567,3.551864434527253,0.5519200676869567,0.03605,0.9382361,6740.371520315861,-6739.759506219769,"{'congested': True, 'oom': False}",n_task_types,20,2,44
greedy-m,0.5950450676869566,3.5856812365843513,0.5519200676869567,0.043125000000000004,0.9514599222222222,31482.235553792394,-31481.625097894244,"{'congested': True, 'oom': False}",n_task_types,20,2,44
lego,0.5778950676869566,3.5856812365843513,0.5519200676869567,0.025975,0.9382361,31482.235553792394,-31481.539347894246,"{'congested': True, 'oom': False}",n_task_types,20,2,44
drs,0.22072673552111644,3.5856812365843513,0.18090173552111644,0.039825000000000006,0.9514599222222222,0.0,2.482047558978769,"{'congested': False, 'oom': False}",n_task_types,20,2,44
our,0.07671298950668197,2.7904127300406523,0.039292989506681975,0.037419999999999995,0.8843037066666667,0.0,2.4068477825072425,"{'congested': False, 'oom': False}",n_task_types,30,2,44
ffd-m,0.07627494179100996,3.2814225501783936,0.06637494179100997,0.009899999999999999,0.9023564444444444,1000.0,-997.0999521587767,"{'congested': True, 'oom': False}",n_task_types,30,2,44
cds-m,0.08397494179100998,3.2814225501783936,0.06637494179100997,0.017599999999999998,0.9023564444444444,1000.0,-997.1384521587767,"{'congested': True, 'oom': False}",n_task_types,30,2,44
random-m,0.17097020336152285,3.595543235314599,0.13387020336152286,0.037099999999999994,0.9023564444444444,0.0,2.740692218506985,"{'congested': False, 'oom': False}",n_task_types,30,2,44
greedy-m,0.18657020336152286,3.595543235314599,0.13387020336152286,0.0527,0.9023564444444444,0.0,2.662692218506985,"{'congested': False, 'oom': False}",n_task_types,30,2,44
lego,0.08397494179100998,3.2814225501783936,0.06637494179100997,0.017599999999999998,0.9023564444444444,1000.0,-997.1384521587767,"{'congested': True, 'oom': False}",n_task_types,30,2,44
drs,0.16919922320603453,3.4516440753844453,0.12939922320603453,0.039799999999999995,0.9023564444444444,1000.0,-997.3943520406457,"{'congested': True, 'oom': False}",n_task_types,30,2,44
