Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Replicate,Replicate_Seed
greedy-m,4.079826660506023,4.430041565750543,4.025217136696499,0.05460952380952381,0.9873575422222223,12765111.284602325,-12765127.253694063,"{'congested': True, 'oom': False}",arrival_rate,700,1,43
lego,4.079826660506023,4.430041565750543,4.025217136696499,0.05460952380952381,0.9873575422222223,12765111.284602325,-12765127.253694063,"{'congested': True, 'oom': False}",arrival_rate,700,1,43
drs,4.079826660506023,4.430041565750543,4.025217136696499,0.05460952380952381,0.9873575422222223,12765111.284602325,-12765127.253694063,"{'congested': True, 'oom': False}",arrival_rate,700,1,43
our,5.8671489668960755,2.857105802874748,5.829194184488668,0.037954782407407406,0.9380907555555555,474589.56637428177,-474616.04501331336,"{'congested': True, 'oom': False}",arrival_rate,800,1,43
ffd-m,4.299435467027645,4.430072567927443,4.244835467027645,0.0546,0.9873575422222223,15711444.617935672,-15711461.68504044,"{'congested': True, 'oom': False}",arrival_rate,800,1,43
cds-m,4.299435467027645,4.430072567927443,4.244835467027645,0.0546,0.9873575422222223,15711444.617935672,-15711461.68504044,"{'congested': True, 'oom': False}",arrival_rate,800,1,43
random-m,4.299435467027645,4.430072567927443,4.244835467027645,0.0546,0.9873575422222223,15711444.617935672,-15711461.68504044,"{'congested': True, 'oom': False}",arrival_rate,800,1,43
greedy-m,4.299435467027645,4.430072567927443,4.244835467027645,0.0546,0.9873575422222223,15711444.617935672,-15711461.68504044,"{'congested': True, 'oom': False}",arrival_rate,800,1,43
lego,4.299435467027645,4.430072567927443,4.244835467027645,0.0546,0.9873575422222223,15711444.617935672,-15711461.68504044,"{'congested': True, 'oom': False}",arrival_rate,800,1,43
drs,4.299435467027645,4.430072567927443,4.244835467027645,0.0546,0.9873575422222223,15711444.617935672,-15711461.68504044,"{'congested': True, 'oom': False}",arrival_rate,800,1,43
our,0.15599262055498272,3.849018523094618,0.10213176341212557,0.053860857142857155,0.9778161622222222,0.0,3.069055420319704,"{'congested': False, 'oom': False}",arrival_rate,200,2,44
ffd-m,0.2996686655570408,4.407836006092045,0.2581326655570408,0.041536000000000003,0.9180369155555556,0.0,2.9094926783068407,"{'congested': False, 'oom': False}",arrival_rate,200,2,44
cds-m,0.2996686655570408,4.407836006092045,0.2581326655570408,0.041536000000000003,0.9180369155555556,0.0,2.9094926783068407,"{'congested': False, 'oom': False}",arrival_rate,200,2,44
random-m,0.30747733222370743,4.407836006092045,0.25813266555704073,0.049344666666666676,0.9180369155555556,0.0,2.8704493449735073,"{'congested': False, 'oom': False}",arrival_rate,200,2,44
greedy-m,0.3110173322237074,4.407836006092045,0.25813266555704073,0.05288466666666668,0.9180369155555556,0.0,2.8527493449735077,"{'congested': False, 'oom': False}",arrival_rate,200,2,44
lego,0.2996686655570408,4.407836006092045,0.2581326655570408,0.041536000000000003,0.9180369155555556,0.0,2.9094926783068407,"{'congested': False, 'oom': False}",arrival_rate,200,2,44
drs,0.31027399889037405,4.407836006092045,0.25813266555704073,0.05214133333333333,0.9180369155555556,0.0,2.8564660116401743,"{'congested': False, 'oom': False}",arrival_rate,200,2,44
our,0.13753488140098236,3.361870296385743,0.09622006658616755,0.04131481481481481,0.9289462133333334,1000.0,-997.3258041106192,"{'congested': True, 'oom': False}",arrival_rate,300,2,44
ffd-m,0.852368358153953,4.369089317010046,0.8001375191516854,0.052230839002267576,0.9851613733333333,693922.9721625269,-693922.8649150006,"{'congested': True, 'oom': False}",arrival_rate,300,2,44
cds-m,0.8514667708523657,4.369089317010046,0.8001375191516854,0.05132925170068027,0.9851613733333333,693922.9721625269,-693922.8604070642,"{'congested': True, 'oom': False}",arrival_rate,300,2,44
random-m,0.8357262657748467,4.371763553213835,0.7863032876947257,0.049422978080120944,0.9851613733333333,891857.8844303393,-891857.691298115,"{'congested': True, 'oom': False}",arrival_rate,300,2,44
greedy-m,0.8264522761924143,4.345130839362161,0.7724690562377658,0.053983219954648526,0.9587137288888888,693922.9721625269,-693922.7592930685,"{'congested': True, 'oom': False}",arrival_rate,300,2,44
lego,0.8514667708523657,4.369089317010046,0.8001375191516854,0.05132925170068027,0.9851613733333333,693922.9721625269,-693922.8604070642,"{'congested': True, 'oom': False}",arrival_rate,300,2,44
drs,0.3024375947374751,3.891271936802861,0.26013751915168526,0.042300075585789874,0.9216468755555556,1000.0,-997.6209160368845,"{'congested': True, 'oom': False}",arrival_rate,300,2,44
our,0.24820051969243767,3.249955553484785,0.20614786537145,0.04205265432098766,0.9293514488888889,1000.0,-997.9910470449774,"{'congested': True, 'oom': False}",arrival_rate,400,2,44
ffd-m,2.435711224583347,4.3345804874995135,2.3809775579166805,0.05473366666666667,0.9934854755555556,2785423.791578272,-2785431.635553907,"{'congested': True, 'oom': False}",arrival_rate,400,2,44
cds-m,2.435711224583347,4.3345804874995135,2.3809775579166805,0.05473366666666667,0.9934854755555556,2785423.791578272,-2785431.635553907,"{'congested': True, 'oom': False}",arrival_rate,400,2,44
random-m,1.634348126717459,4.342952208008771,1.5814739044952368,0.05287422222222223,0.9822966266666666,3320051.6679510907,-3320055.4967395165,"{'congested': True, 'oom': False}",arrival_rate,400,2,44
greedy-m,2.4333912245833473,4.3345804874995135,2.3809775579166805,0.05241366666666667,0.9934854755555556,2562071.0630980157,-2562078.895473651,"{'congested': True, 'oom': False}",arrival_rate,400,2,44
lego,2.435711224583347,4.3345804874995135,2.3809775579166805,0.05473366666666667,0.9934854755555556,2785423.791578272,-2785431.635553907,"{'congested': True, 'oom': False}",arrival_rate,400,2,44
drs,1.6338447933841258,4.342952208008771,1.5814739044952368,0.0523708888888889,0.9822966266666666,3320051.6679510907,-3320055.4942228496,"{'congested': True, 'oom': False}",arrival_rate,400,2,44
our,0.5240613841403164,3.1765471744256573,0.4830979328931509,0.040963451247165536,0.9028383688888889,85064.34789428278,-85063.79165402906,"{'congested': True, 'oom': False}",arrival_rate,500,2,44
ffd-m,2.4695529186391774,4.332438118299011,2.4208831665730615,0.04866975206611571,0.9935879355555556,5973692.777017322,-5973700.792343797,"{'congested': True, 'oom': False}",arrival_rate,500,2,44
cds-m,2.4695529186391774,4.332438118299011,2.4208831665730615,0.04866975206611571,0.9935879355555556,5973692.777017322,-5973700.792343797,"{'congested': True, 'oom': False}",arrival_rate,500,2,44
random-m,1.8669561999634414,4.326355592838098,1.8127065999634415,0.0542496,0.9847966533333333,4480051.66795109,-4480056.676376497,"{'congested': True, 'oom': False}",arrival_rate,500,2,44
greedy-m,1.8669561999634414,4.326355592838098,1.8127065999634415,0.0542496,0.9847966533333333,4480051.66795109,-4480056.676376497,"{'congested': True, 'oom': False}",arrival_rate,500,2,44
lego,2.4695529186391774,4.332438118299011,2.4208831665730615,0.04866975206611571,0.9935879355555556,5973692.777017322,-5973700.792343797,"{'congested': True, 'oom': False}",arrival_rate,500,2,44
drs,1.8657647999634415,4.326355592838098,1.8127065999634415,0.053058200000000014,0.9847966533333333,4480051.66795109,-4480056.670419497,"{'congested': True, 'oom': False}",arrival_rate,500,2,44
our,1.3469707025051598,3.0931727750429667,1.3047917227587158,0.04217897974644403,0.9487145066666667,433721.04560947785,-433724.68729021534,"{'congested': True, 'oom': False}",arrival_rate,600,2,44
ffd-m,3.176084797935427,4.317075980980157,3.123700500414766,0.05238429752066116,0.9815765066666666,7914177.751927905,-7914189.315275913,"{'congested': True, 'oom': False}",arrival_rate,600,2,44
cds-m,3.176084797935427,4.317075980980157,3.123700500414766,0.05238429752066116,0.9815765066666666,7914177.751927905,-7914189.315275913,"{'congested': True, 'oom': False}",arrival_rate,600,2,44
random-m,3.266503836596062,4.324686635988573,3.2115574178632795,0.05494641873278237,0.9802888733333334,9026825.023447646,-9026837.031280193,"{'congested': True, 'oom': False}",arrival_rate,600,2,44
greedy-m,1.9921989523639065,3.8502517691184597,1.9506336190305733,0.041565333333333336,0.9256394555555556,3503405.291320703,-3503411.4020636957,"{'congested': True, 'oom': False}",arrival_rate,600,2,44
lego,3.176084797935427,4.317075980980157,3.123700500414766,0.05238429752066116,0.9815765066666666,7914177.751927905,-7914189.315275913,"{'congested': True, 'oom': False}",arrival_rate,600,2,44
drs,3.2972330924829194,4.3262087669902565,3.243135536927364,0.05409755555555555,0.9847214133333333,6253069.372549459,-6253081.532506155,"{'congested': True, 'oom': False}",arrival_rate,600,2,44
our,2.265106645778525,3.21325192681625,2.2227150981594774,0.04239154761904762,0.9304438755555555,1450618.7268370937,-1450626.8391183957,"{'congested': True, 'oom': False}",arrival_rate,700,2,44
ffd-m,3.212132860000879,4.3169646783611775,3.1602667442984,0.05186611570247934,0.9815012666666667,11194279.568902193,-11194291.312601814,"{'congested': True, 'oom': False}",arrival_rate,700,2,44
cds-m,3.212132860000879,4.3169646783611775,3.1602667442984,0.05186611570247934,0.9815012666666667,11194279.568902193,-11194291.312601814,"{'congested': True, 'oom': False}",arrival_rate,700,2,44
random-m,2.7075149819835507,3.8501482027192875,2.6657511646852026,0.04176381729834791,0.9400756711111111,4694395.322369229,-4694405.009795936,"{'congested': True, 'oom': False}",arrival_rate,700,2,44
greedy-m,2.7075149819835507,3.8501482027192875,2.6657511646852026,0.04176381729834791,0.9400756711111111,4694395.322369229,-4694405.009795936,"{'congested': True, 'oom': False}",arrival_rate,700,2,44
lego,3.212132860000879,4.3169646783611775,3.1602667442984,0.05186611570247934,0.9815012666666667,11194279.568902193,-11194291.312601814,"{'congested': True, 'oom': False}",arrival_rate,700,2,44
